,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Na tlali,9.6,Not specified,MXN 290,"{'lat': 19.3466748, 'lng': -99.1890414}"
1,El escorial,9.0,Expensive,MXN 450,"{'lat': 19.3460877, 'lng': -99.1891594}"
2,Casa de castilla,9.0,Expensive,MXN 450,"{'lat': 19.3534584, 'lng': -99.19043549999999}"
