,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Brandon,8.6,Moderate,ARS 800,"{'lat': -34.5838697, 'lng': -58.4361528}"
1,La pescadorita,8.8,Expensive,ARS 1.300,"{'lat': -34.583392, 'lng': -58.433558}"
2,L'adesso,9.0,Expensive,ARS 1.100,"{'lat': -34.5838444, 'lng': -58.4283028}"
3,Taki ongoy,9.4,Not specified,ARS 1.500,"{'lat': -34.5778193, 'lng': -58.4385047}"
4,Chipper seafood,8.4,Moderate,ARS 3.500,"{'lat': -34.5836199, 'lng': -58.43378}"
