,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Criterión,9.2,Not specified,Not specified,"{'lat': 4.651689999999999, 'lng': -74.056011}"
1,Castanyoles,9.2,Expensive,Not specified,"{'lat': 4.6520806, 'lng': -74.0562972}"
2,El chato,8.8,Not specified,Not specified,"{'lat': 4.6478318, 'lng': -74.0570942}"
3,El árabe,9.2,Expensive,Not specified,"{'lat': 4.6519867, 'lng': -74.0563761}"
4,La ventana,9.2,Expensive,Not specified,"{'lat': 4.655721, 'lng': -74.05554099999999}"
5,Ceviche 66,9.2,Not specified,Not specified,"{'lat': 4.6487624, 'lng': -74.0566418}"
