,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,L'arcane,9.4,Expensive,EUR 42,"{'lat': 48.889402, 'lng': 2.342061}"
1,Le potager du père thierry,9.4,Moderate,EUR 25,"{'lat': 48.8845552, 'lng': 2.3412329}"
