,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Almara,9.0,Moderate,MXN500,"{'lat': 19.425, 'lng': -99.1677778}"
1,Comedor lucerna,9.0,Moderate,MXN250,"{'lat': 19.4299661, 'lng': -99.15575539999999}"
2,Rouge bohème bistro,9.2,Moderate,MXN250,"{'lat': 19.4271043, 'lng': -99.163725}"
