,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Kiin thai-viet eatery,8.8,Not specified,MXN 550,"{'lat': 19.4119933, 'lng': -99.158351}"
1,Restaurant árabe miguel,8.8,Moderate,MXN 300,"{'lat': 19.4127583, 'lng': -99.15682500000001}"
2,Doña vero,9.0,Moderate,MXN 200,"{'lat': 19.4071438, 'lng': -99.1615389}"
3,Tr3s tonala,9.2,Not specified,MXN 450,"{'lat': 19.4135485, 'lng': -99.1616473}"
4,Comedor de los milagros,9.0,Moderate,MXN 250,"{'lat': 19.4102094, 'lng': -99.16435659999999}"
