,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Fonda garufa,8.8,Moderate,MXN 500,"{'lat': 19.4116667, 'lng': -99.17472219999999}"
1,Creperie de la paix,8.8,Moderate,MXN 450,"{'lat': 19.4116427, 'lng': -99.17586879999999}"
2,La vie en rose,9.0,Expensive,MXN 700,"{'lat': 19.4168655, 'lng': -99.16806489999999}"
3,Asian bay,8.8,Moderate,MXN 350,"{'lat': 19.4108771, 'lng': -99.17477679999999}"
4,El tapeo condesa,8.8,Not specified,MXN 250,"{'lat': 19.4130884, 'lng': -99.1711933}"
5,Los uruguayos,8.6,Moderate,MXN 300,"{'lat': 19.4144444, 'lng': -99.1733333}"
